art_id,menciona_ley_materia
3F66D749_1,True
3F66D749_28,True
3F66D749_41,True
3F66D749_101QUATER,True
3F66D749_122,True
3F66D749_171,True
50BEA374_68,True
660CBA22_44,True
3A2C8488_14,True
3A2C8488_200,True
C57B66D6_189,True
C57B66D6_228,True
F85A3C2E_3,True
F85A3C2E_31,True
BD22E724_32,True
BD22E724_33,True
BD22E724_153BIS,True
BD22E724_157,True
BD22E724_159,True
BD22E724_160,True
BD22E724_162,True
BD22E724_162BIS,True
BD22E724_163,True
BD22E724_164,True
BD22E724_167,True
BD22E724_170SEXIES,True
BD22E724_170NONIES,True
BD22E724_171,True
BD22E724_172UNDECIES,True
BD22E724_229,True
BD22E724_271BIS,True
BD22E724_299,True
702EE237_21,True
702EE237_22,True
702EE237_33,True
702EE237_43,True
702EE237_65,True
702EE237_85,True
702EE237_117,True
702EE237_127,True
702EE237_185,True
702EE237_187,True
702EE237_192,True
702EE237_194,True
702EE237_195,True
702EE237_198,True
702EE237_345,True
702EE237_346,True
702EE237_411,True
E9E40322_26,True
E0A07F07_5,True
E0A07F07_28,True
E0A07F07_52,True
67567B88_146,True
2F07FC1B_35,True
2F07FC1B_1927,True
2F07FC1B_2448J,True
2F07FC1B_3035,True
D0D23E5F_10,True
D0D23E5F_60,True
D0D23E5F_62,True
D0D23E5F_63,True
D0D23E5F_63BIS,True
7566EC96_114,True
A3D6BE07_3,True
3F714625_11,True
71CE1013_144,True
7C5E7A9B_5,True
F5B39E56_44,True
F5B39E56_56TER,True
F5B39E56_59,True
1845EF43_37,True
FB6CCCAE_30,True
FB6CCCAE_48,True
690FA405_26,True
690FA405_35,True
690FA405_36,True
690FA405_38,True
690FA405_41,True
690FA405_61,True
690FA405_80,True
690FA405_89,True
690FA405_100,True
690FA405_103,True
98C6B489_6,True
98C6B489_29,True
98C6B489_50,True
98C6B489_94,True
98C6B489_96,True
98C6B489_143,True
98C6B489_160,True
98C6B489_176,True
98C6B489_179,True
98C6B489_181,True
98C6B489_294,True
98C6B489_367,True
98C6B489_466,True
98C6B489_468,True
EEDDE287_7,True
EEDDE287_18QUATER,True
1CF89C01_10,True
1CF89C01_26,True
1CF89C01_28,True
1CF89C01_31,True
1CF89C01_43,True
86FB6857_29,True
FC3F5431_71TER,True
FC3F5431_224,True
FC3F5431_241BIS,True
FC3F5431_354,True
BA76459A_46,True
BA76459A_97,True
BA76459A_107,True
BA76459A_108,True
BA76459A_109,True
C08ED0E5_9,True
D210670F_13,True
A06352E4_10,True
79188754_145,True
4EF1658F_38,True
4EF1658F_68,True
4EF1658F_69,True
4EF1658F_80,True
4EF1658F_89,True
4EF1658F_91,True
234F69A3_8C,True
234F69A3_11C,True
234F69A3_16OCTIES,True
234F69A3_18P,True
234F69A3_21D,True
234F69A3_24DECIES,True
234F69A3_27DECIES,True
234F69A3_31D,True
234F69A3_34R,True
234F69A3_38T,True
234F69A3_42SEXIES,True
234F69A3_44P,True
234F69A3_47C,True
234F69A3_51I,True
234F69A3_53A,True
234F69A3_54D,True
234F69A3_55D,True
234F69A3_56D,True
234F69A3_59D,True
234F69A3_62D,True
CCC16BC7_32,True
0EC8FD6C_32,True
71D41E18_16,True
BD547D19_7,True
F14C9D5F_10,True
955199A7_7,True
955199A7_22,True
955199A7_27,True
955199A7_28,True
955199A7_35,True
955199A7_39,True
955199A7_42,True
955199A7_49,True
955199A7_61,True
955199A7_104,True
955199A7_117,True
955199A7_119,True
955199A7_128,True
955199A7_132,True
955199A7_152,True
955199A7_162,True
955199A7_180,True
955199A7_203,True
955199A7_205,True
955199A7_207,True
955199A7_209,True
955199A7_213,True
955199A7_218,True
955199A7_223,True
955199A7_232,True
955199A7_233,True
B848E072_51,True
BF189D0A_6,True
3C5257D6_15,True
3C5257D6_22,True
3C5257D6_142,True
7CAEE9BB_19,True
C4AC6D85_2,True
C4AC6D85_100,True
D6247448_26,True
057212A0_60,True
F5CAFBB3_17,True
2B129DFF_10,True
62CDA32A_43,True
62CDA32A_64,True
298E1252_25,True
44E613EB_9,True
C538DBF3_22,True
C538DBF3_74,True
C538DBF3_78,True
C538DBF3_95,True
C538DBF3_155,True
2B5D3921_15,True
55FBF591_21,True
55FBF591_27,True
55FBF591_71,True
6D6F29EF_6,True
6D6F29EF_83,True
0565BA1A_7,True
99BF2672_2,True
99BF2672_45,True
99BF2672_113,True
D26A0A36_3,True
D26A0A36_42,True
C2018EA2_26,True
78F63ACE_1,True
78F63ACE_63,True
B598BEAE_18,True
B598BEAE_53,True
6B27E62A_29,True
BF2515FB_8,True
BF2515FB_15,True
BF2515FB_36,True
5B0B6BFB_33,True
5B0B6BFB_34,True
5B0B6BFB_57,True
12DFAABB_10,True
12DFAABB_11,True
12DFAABB_12,True
12DFAABB_34,True
12DFAABB_41,True
49951E1A_12,True
2827D88F_61TER,True
D2CE6E11_33,True
D2CE6E11_131,True
D2CE6E11_165,True
C0A06B26_2,True
C0A06B26_95,True
98075563_77,True
95B2DA77_28,True
95B2DA77_67,True
95B2DA77_141,True
35C270ED_553S,True
35C270ED_905,True
ECB46289_22,True
ECB46289_23,True
ECB46289_24,True
ECB46289_54,True
325CA4D7_10,True
B517CD98_9,True
F4E0870D_7,True
F4E0870D_14,True
FAA2EE90_85,True
CEF5E63A_22,True
CEF5E63A_37,True
6F21C500_16,True
9DEF584C_67,True
0838354E_25,True
381DBA28_13,True
381DBA28_27,True
84DE023E_25,True
56C2EF59_58QUATER,True
81B02B58_38,True
81B02B58_102,True
DC78E7E4_39,True
