art_id,menciona_norm
D61F4C69_48BIS,True
3A2C8488_59,True
3A46D130_3,True
3A46D130_14,True
3A46D130_16,True
C22DAF01_61,True
C22DAF01_116,True
4198B460_48,True
4198B460_76,True
4198B460_77,True
4198B460_117,True
B848E072_8BIS10,True
A92D78A0_9,True
057212A0_4,True
057212A0_45,True
0CB5F9A5_48,True
99BF2672_37,True
D26A0A36_52,True
B6DF65EC_30,True
D2CE6E11_4,True
87EDE287_106,True
87EDE287_122,True
87EDE287_129,True
87EDE287_130,True
87EDE287_150,True
87EDE287_333,True
FE4C72B4_35,True
AF912A55_13,True
325CA4D7_53,True
325CA4D7_56,True
B517CD98_5,True
9C1ACCB3_12,True
9C1ACCB3_13,True
9C1ACCB3_14,True
9C1ACCB3_15,True
9C1ACCB3_19,True
9C1ACCB3_20,True
9C1ACCB3_22,True
9C1ACCB3_23,True
9C1ACCB3_25,True
9C1ACCB3_27,True
9C1ACCB3_28,True
9C1ACCB3_30,True
9C1ACCB3_31,True
9C1ACCB3_32,True
9C1ACCB3_39,True
AF96B37C_51,True
AF96B37C_77,True
AF96B37C_140,True
